name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
410,21206,Frankford,2,NORTHEASTERN,"4509 BELAIR ROAD
Baltimore, MD
"
1919,21231,Fells Point,1,SOUTHEASTERN,"1919 FLEET ST
Baltimore, MD
"
SAUTE,21224,Canton,1,SOUTHEASTERN,"2844 HUDSON ST
Baltimore, MD
"
#1 CHINESE KITCHEN,21211,Hampden,14,NORTHERN,"3998 ROLAND AVE
Baltimore, MD
"
#1 chinese restaurant,21223,Millhill,9,SOUTHWESTERN,"2481 frederick ave
Baltimore, MD
"
19TH HOLE,21218,Clifton Park,14,NORTHEASTERN,"2722 HARFORD RD
Baltimore, MD
"
3 KINGS,21205,McElderry Park,13,SOUTHEASTERN,"2510 MCELDERRY ST
Baltimore, MD
"
"3 MILES HOUSE, INC.",21211,Remington,7,NORTHERN,"2701 MILES AVE
Baltimore, MD
"
3 W'S TAVERN,21205,McElderry Park,13,SOUTHEASTERN,"2518 MONUMENT ST
Baltimore, MD
"
300 SOUTH ANN STREET,21231,Upper Fells Point,1,SOUTHEASTERN,"300 ANN ST
Baltimore, MD
"
438 CLUB,21226,Curtis Bay,10,SOUTHERN,"1600 HAZEL ST
Baltimore, MD
"
5-MILE HOUSE,21215,Woodmere,5,NORTHWESTERN,"5302 REISTERSTOWN RD
Baltimore, MD
"
"743 S. MONTFORD,INC.",21224,Canton,1,SOUTHEASTERN,"743 MONTFORD ST
Baltimore, MD
"
A & W RESTAURANT,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD
"
A TASTE OF CHINA,21202,Downtown,11,CENTRAL,"219 BALTIMORE ST
Baltimore, MD
"
ABACROMBIE FINE FOODS,21201,Mid-Town Belvedere,11,CENTRAL,"58 BIDDLE STREET
Baltimore, MD
"
ABC SUSHI,21205,Middle East,13,EASTERN,"2003 MONUMENT ST
Baltimore, MD
"
ACROPOLIS RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"4718 EASTERN AVE
Baltimore, MD
"
ADMIRAL FELL INN,21231,Fells Point,1,SOUTHEASTERN,"818 BROADWAY
Baltimore, MD
"
AG & HARP'S,21230,Morrell Park,10,SOUTHWESTERN,"2522 WASHINGTON BLVD
Baltimore, MD
"
"AIRPORT BAR & GRILL, INC.",21222,Saint Helena,1,SOUTHEASTERN,"6500 RIVERVIEW AVE
Baltimore, MD
"
AKBAR RESTAURANT,21201,Mount Vernon,11,CENTRAL,"823 CHARLES ST
Baltimore, MD
"
"AKDEY SUBWAY, INC.",21223,Millhill,9,SOUTHWESTERN,"2407 FREDERICK AVE
Baltimore, MD
"
ALDO'S   RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"306 HIGH ST
Baltimore, MD
"
ALE MARY'S,21231,Fells Point,1,SOUTHEASTERN,"1939 FLEET ST
Baltimore, MD
"
ALEXANDER'S TAVERN,21231,Fells Point,1,SOUTHEASTERN,"710 BROADWAY
Baltimore, MD
"
ALFEO'S,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD
"
AL-HO CLUB,21223,Booth-Boyd,9,SOUTHWESTERN,"2105 FREDERICK AVE
Baltimore, MD
"
BAY ATLANTIC CLUB,21212,Downtown,11,CENTRAL,"206 REDWOOD ST
Baltimore, MD
"
BAY CAFE,21224,Canton,1,SOUTHEASTERN,"2809 BOSTON ST
Baltimore, MD
"
BEACH  BUMS CAF,21230,Federal Hill,10,SOUTHERN,"1038 LIGHT ST
Baltimore, MD
"
BECKER'S TAVERN,21224,Baltimore Highlands,2,SOUTHEASTERN,"3820 PRATT ST
Baltimore, MD
"
BEDROCK,21201,Downtown,11,CENTRAL,"401 BALTIMORE ST
Baltimore, MD
"
BEDROCK (KITCHEN AREA),21201,Downtown,11,CENTRAL,"401 BALTIMORE ST
Baltimore, MD
"
BELAIR PUB,21206,Glenham-Belford,2,NORTHEASTERN,"5860 BELAIR RD
Baltimore, MD
"
BELT STREET PUB,21230,Riverside,10,SOUTHERN,"1747 BELT ST
Baltimore, MD
"
BELVEDERE TOWERS CAF,21210,Roland Park,6,NORTHERN,"1190 NORTHERN PKWY
Baltimore, MD
"
