"id","solution_id","reviewer_id","start","stop","time_left","accept"
"1","3","27","1304095698","1304095758","1754","1"
"2","4","22","1304095188","1304095206","2306","1"
"3","5","28","1304095276","1304095320","2192","1"
"4","1","26","1304095267","1304095423","2089","1"
"5","10","29","1304095456","1304095469","2043","1"
"6","2","29","1304095471","1304095513","1999","1"
"7","9","25","1304095343","1304095382","2130","1"
"8","8","23","","","",""
"9","7","29","1304095520","1304095613","1899","1"
"10","11","26","1304095428","1304095488","2024","1"
"11","17","26","1304095493","1304095523","1989","0"
"12","14","22","1304095280","1304095301","2211","1"
"13","16","26","1304095529","1304095550","1962","1"
"14","20","29","1304095617","1304095624","1888","1"
"15","13","24","1304095395","1304095462","2050","0"
"16","6","22","1304095303","1304095471","2041","1"
"17","19","23","","","",""
"18","18","28","1304095422","1304095474","2038","0"
"19","21","28","1304095515","1304095532","1980","0"
"20","15","23","","","",""
"21","22","22","1304095520","1304095598","1914","1"
"22","25","26","1304095553","1304095592","1920","1"
"23","12","27","1304095767","1304095852","1660","1"
"24","27","22","","","",""
"25","24","22","","","",""
"26","23","22","","","",""
"27","26","26","1304095594","1304095603","1909","1"
"28","30","28","1304095535","1304095567","1945","1"
"29","31","29","1304095627","1304095641","1871","1"
"30","29","24","1304095530","1304095652","1860","0"
"31","33","26","1304095604","1304095612","1900","1"
"32","34","25","1304095564","1304095579","1933","1"
"33","37","22","1304095611","1304095624","1888","1"
"34","32","22","1304096568","1304096588","924","1"
"35","36","23","","","",""
"36","38","25","1304095608","1304095643","1869","1"
"37","39","22","","","",""
"38","35","29","1304095646","1304095672","1840","0"
"39","40","23","","","",""
"40","41","29","1304095674","1304095694","1818","0"
"41","28","27","","","",""
"42","42","24","1304095741","1304095789","1723","1"
"43","45","27","","","",""
"44","43","22","","","",""
"45","44","25","1304095735","1304095765","1747","1"
"46","49","26","1304095931","1304095937","1575","1"
"47","50","22","1304096130","1304096141","1371","1"
"48","51","26","1304095939","1304095993","1519","1"
"49","46","28","1304095824","1304095990","1522","0"
"50","55","26","1304095997","1304096033","1479","0"
"51","47","27","","","",""
"52","53","22","1304095779","1304095814","1698","1"
"53","57","23","","","",""
"54","56","24","1304095839","1304095927","1585","1"
"55","52","27","1304096664","1304096980","532","1"
"56","58","22","1304096154","1304096208","1304","1"
"57","61","28","1304095993","1304096031","1481","1"
"58","60","28","1304096192","1304096212","1300","1"
"59","62","23","","","",""
"60","54","25","","","",""
"61","59","25","1304095987","1304096050","1462","0"
"62","63","26","1304096050","1304096075","1437","1"
"63","65","28","1304096214","1304096236","1276","1"
"64","48","24","1304095933","1304096016","1496","1"
"65","66","26","1304096079","1304096099","1413","0"
"66","67","27","","","",""
"67","64","27","1304097061","1304097104","408","1"
"68","68","26","1304096102","1304096121","1391","1"
"69","70","27","","","",""
"70","72","25","","","",""
"71","75","24","1304096433","1304096470","1042","1"
"72","71","23","","","",""
"73","78","29","1304096126","1304096177","1335","1"
"74","76","28","1304096239","1304096268","1244","1"
"75","77","25","1304096288","1304096300","1212","0"
"76","74","27","","","",""
