"Indicator","Data Source","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_311900","Afghanistan","Both sexes","1997","Eastern Mediterranean","44.9","44.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Afghanistan","Male","2004","Eastern Mediterranean","32.7","32.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Afghanistan","Both sexes","2004","Eastern Mediterranean","32.9","32.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Afghanistan","Female","2004","Eastern Mediterranean","33.0","33.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311954","Albania","Both sexes","1998","Europe","7.1","7.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Albania","Both sexes","2000","Europe","17.0","17.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Albania","Male","2000","Europe","19.6","19.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Albania","Female","2000","Europe","14.2","14.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Albania","Female","2005","Europe","5.8","5.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Albania","Male","2005","Europe","7.3","7.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Albania","Both sexes","2005","Europe","6.6","6.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Albania","Both sexes","2009","Europe","6.3","6.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Albania","Female","2009","Europe","6.0","6.00000","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Albania","Male","2009","Europe","6.6","6.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310371","Algeria","Both sexes","1987","Africa","8.0","8.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Algeria","Both sexes","1992","Africa","9.2","9.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Algeria","Male","1992","Africa","9.8","9.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Algeria","Female","1992","Africa","8.6","8.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Algeria","Female","1995","Africa","10.4","10.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Algeria","Both sexes","1995","Africa","11.3","11.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Algeria","Male","1995","Africa","12.2","12.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Algeria","Male","2000","Africa","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Algeria","Female","2000","Africa","5.6","5.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Algeria","Both sexes","2000","Africa","5.4","5.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Algeria","Both sexes","2002","Africa","11.1","11.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Algeria","Female","2002","Africa","9.6","9.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Algeria","Male","2002","Africa","12.7","12.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Algeria","Female","2005","Africa","3.7","3.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Algeria","Both sexes","2005","Africa","3.7","3.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Algeria","Male","2005","Africa","3.7","3.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312083","Angola","Both sexes","1996","Africa","37.0","37.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312083","Angola","Female","1996","Africa","35.7","35.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312083","Angola","Male","1996","Africa","38.2","38.20000","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Angola","Both sexes","2007","Africa","15.6","15.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Angola","Male","2007","Africa","16.6","16.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Angola","Female","2007","Africa","14.6","14.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311469","Argentina","Both sexes","1994","Americas","1.7","1.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312103","Argentina","Both sexes","1996","Americas","4.7","4.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Argentina","Female","2005","Americas","2.2","2.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Argentina","Male","2005","Americas","2.4","2.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Argentina","Both sexes","2005","Americas","2.3","2.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Armenia","Both sexes","1998","Europe","2.7","2.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Armenia","Male","1998","Europe","2.8","2.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Armenia","Female","1998","Europe","2.6","2.60000","","",""
