"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_311900","Published","1997","Eastern Mediterranean","Afghanistan","Both sexes","
44.9
","44.9","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Published","2004","Eastern Mediterranean","Afghanistan","Female","
33.0
","33","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Published","2004","Eastern Mediterranean","Afghanistan","Male","
32.7
","32.7","","",""
"Children aged <5 years underweight (%)","NLIS_312819","Published","2004","Eastern Mediterranean","Afghanistan","Both sexes","
32.9
","32.9","","",""
"Children aged <5 years underweight (%)","NLIS_311954","Published","1998","Europe","Albania","Both sexes","
7.1
","7.1","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Published","2000","Europe","Albania","Male","
19.6
","19.6","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Published","2000","Europe","Albania","Female","
14.2
","14.2","","",""
"Children aged <5 years underweight (%)","NLIS_312361","Published","2000","Europe","Albania","Both sexes","
17.0
","17","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Published","2005","Europe","Albania","Male","
7.3
","7.3","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Published","2005","Europe","Albania","Female","
5.8
","5.8","","",""
"Children aged <5 years underweight (%)","NLIS_312879","Published","2005","Europe","Albania","Both sexes","
6.6
","6.6","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Published","2009","Europe","Albania","Female","
6.0
","6","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Published","2009","Europe","Albania","Male","
6.6
","6.6","","",""
"Children aged <5 years underweight (%)","NLIS_313062","Published","2009","Europe","Albania","Both sexes","
6.3
","6.3","","",""
"Children aged <5 years underweight (%)","NLIS_310371","Published","1987","Africa","Algeria","Both sexes","
8.0
","8","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Published","1992","Africa","Algeria","Male","
9.8
","9.8","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Published","1992","Africa","Algeria","Female","
8.6
","8.6","","",""
"Children aged <5 years underweight (%)","NLIS_310750","Published","1992","Africa","Algeria","Both sexes","
9.2
","9.2","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Published","1995","Africa","Algeria","Female","
10.4
","10.4","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Published","1995","Africa","Algeria","Both sexes","
11.3
","11.3","","",""
"Children aged <5 years underweight (%)","NLIS_311651","Published","1995","Africa","Algeria","Male","
12.2
","12.2","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Published","2000","Africa","Algeria","Male","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Published","2000","Africa","Algeria","Female","
5.6
","5.6","","",""
"Children aged <5 years underweight (%)","NLIS_312226","Published","2000","Africa","Algeria","Both sexes","
5.4
","5.4","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Published","2002","Africa","Algeria","Female","
9.6
","9.6","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Published","2002","Africa","Algeria","Male","
12.7
","12.7","","",""
"Children aged <5 years underweight (%)","NLIS_312644","Published","2002","Africa","Algeria","Both sexes","
11.1
","11.1","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Published","2005","Africa","Algeria","Female","
3.7
","3.7","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Published","2005","Africa","Algeria","Male","
3.7
","3.7","","",""
"Children aged <5 years underweight (%)","NLIS_312965","Published","2005","Africa","Algeria","Both sexes","
3.7
","3.7","","",""
